Question,Answer_choice,Correct_or_not
67. The most commonly used diagnostic method to judge the obstruction of the lacrimal duct is (  ),A. Lacrimal duct probing,0
67. The most commonly used diagnostic method to judge the obstruction of the lacrimal duct is (  ),B. Lacrimal duct imaging,0
67. The most commonly used diagnostic method to judge the obstruction of the lacrimal duct is (  ),C. CT scan,0
67. The most commonly used diagnostic method to judge the obstruction of the lacrimal duct is (  ),D. Lacrimal duct flushing,1
67. The most commonly used diagnostic method to judge the obstruction of the lacrimal duct is (  ),E. Ultrasonography examination,0
"68. About congenital tear channel obstruction, the wrong description is (  )",A. It is usually caused by the haSner petals at the end of the nasal and cause.,0
"68. About congenital tear channel obstruction, the wrong description is (  )","B. Newborn tear secretion is less secretion, so there are few tears symptoms",1
"68. About congenital tear channel obstruction, the wrong description is (  )",C. Surgical treatment first before considering surgical treatment,0
"68. About congenital tear channel obstruction, the wrong description is (  )",D. Those with a small dot membrane with tears can be pierced directly with a probe or tear dot expander,0
"68. About congenital tear channel obstruction, the wrong description is (  )",E. Those who obstruct the nasal tube can feasibly tear the sac nasal cavity convergence,0
"69. About lacrimal tumors, the wrong thing is (  )",A. Lacrimal glands mixed tumor is the most common benign tumor of lacrimal glands,0
"69. About lacrimal tumors, the wrong thing is (  )",B. Tear tumors may cause eyeballs to protrude forward and down,0
"69. About lacrimal tumors, the wrong thing is (  )",C.CT has an important value for identifying whether the lacrimal tumor is malignant,0
"69. About lacrimal tumors, the wrong thing is (  )",D. Pleomorphic adenomas is soft and soft,1
"69. About lacrimal tumors, the wrong thing is (  )","E. Lacrimal glands, cystic cancer, prognosis",0
70. What does not meet the clinical manifestations of the eyelid is (  ),A. Tears,0
70. What does not meet the clinical manifestations of the eyelid is (  ),B. Eye cracks shrink,1
70. What does not meet the clinical manifestations of the eyelid is (  ),C. Exposed keratitis,0
70. What does not meet the clinical manifestations of the eyelid is (  ),D. Film dry,0
70. What does not meet the clinical manifestations of the eyelid is (  ),E. Eye closure is incomplete,0
71. Mo-Aburne infection often causes (  ),A. Polymidomyocylitis,1
71. Mo-Aburne infection often causes (  ),B. Ulcerative blepharitis,0
71. Mo-Aburne infection often causes (  ),C. Scale-induced bonding inflammation,0
71. Mo-Aburne infection often causes (  ),D. Eyeitis,0
71. Mo-Aburne infection often causes (  ),E. Eye glands cyst,0
72. The cause of acquired eyelid drooping does not include (  ),A. Lifting the eyelid muscle injury,0
72. The cause of acquired eyelid drooping does not include (  ),B. Severe muscles weak,0
72. The cause of acquired eyelid drooping does not include (  ),C. Eye nerve palsy,0
72. The cause of acquired eyelid drooping does not include (  ),D. Damaged trigeminal nerve,1
72. The cause of acquired eyelid drooping does not include (  ),E. Sensory nerve damage,0
73. The performance of congenital eyelid cracks and narrow syndrome should not appear (  ),A. Lower eyelid drooping,0
73. The performance of congenital eyelid cracks and narrow syndrome should not appear (  ),B. Reverse inside,0
73. The performance of congenital eyelid cracks and narrow syndrome should not appear (  ),C. Excessive distance between the internal puppet,0
73. The performance of congenital eyelid cracks and narrow syndrome should not appear (  ),D. Upper eyelid inside,1
73. The performance of congenital eyelid cracks and narrow syndrome should not appear (  ),E. Eye cracks shrink,0
74. The main cause of Horner syndrome is (  ),A. Eye nerve paralysis,0
74. The main cause of Horner syndrome is (  ),B. Sensory nerve injury,1
74. The main cause of Horner syndrome is (  ),C. Lifting upper eyelid muscle dysplasia,0
74. The main cause of Horner syndrome is (  ),D. Lifting upper eyelid muscle injury,0
74. The main cause of Horner syndrome is (  ),E. Severe muscles weak,0
75. The most commonly accumulated nerves of herpes zoster palpebral dermatitis is (  ),A. Modern eye nerves,0
75. The most commonly accumulated nerves of herpes zoster palpebral dermatitis is (  ),B. Bald nerve,0
75. The most commonly accumulated nerves of herpes zoster palpebral dermatitis is (  ),C. Trident,1
75. The most commonly accumulated nerves of herpes zoster palpebral dermatitis is (  ),D. Show nerve,0
75. The most commonly accumulated nerves of herpes zoster palpebral dermatitis is (  ),E. Facial nerve,0
76. Which of the following is not a conventional examination of ophthalmology (  ),A.X line flat film,0
76. Which of the following is not a conventional examination of ophthalmology (  ),B. Ultrasonic examination,0
76. Which of the following is not a conventional examination of ophthalmology (  ),C.MRI,0
76. Which of the following is not a conventional examination of ophthalmology (  ),D.CT,0
76. Which of the following is not a conventional examination of ophthalmology (  ),E.DSA,1
"77. Regarding the clinical characteristics of acute dacryoadenitis, the description is incorrect (  )","A. Unilateral onset, pain in the lacrimal glands",0
"77. Regarding the clinical characteristics of acute dacryoadenitis, the description is incorrect (  )","B. The upper eyelid is S-shaped, the skin is red and swollen, the upper eyelid is drooping",0
"77. Regarding the clinical characteristics of acute dacryoadenitis, the description is incorrect (  )",C. Ear lymphatic swelling,0
"77. Regarding the clinical characteristics of acute dacryoadenitis, the description is incorrect (  )","D. Local inflammation, rarely fever, increased body temperature",1
"77. Regarding the clinical characteristics of acute dacryoadenitis, the description is incorrect (  )","E.CT shows the expansion of the lacrimal glands, the edges are irregular",0
78. The correct treatment for inflammatory pseudotumors is (  ),A. The most sensitive to corticosteroids is alkaline granulocytes,1
78. The correct treatment for inflammatory pseudotumors is (  ),B. The most sensitive radiotherapy is lymphocyte infiltration type,0
78. The correct treatment for inflammatory pseudotumors is (  ),"C. Generally, local medication is effective",0
78. The correct treatment for inflammatory pseudotumors is (  ),D. Complete resection of surgery when necessary to prevent a recurrence,0
78. The correct treatment for inflammatory pseudotumors is (  ),E. The amount of cortical hormone should be less and short to avoid complications of the whole body,0
79. The cause of congenital upper eyelid drooping is (  ),A. Eye nerve paralysis,0
79. The cause of congenital upper eyelid drooping is (  ),B. Sensory neurological disease,0
79. The cause of congenital upper eyelid drooping is (  ),C. Severe muscles weak,0
79. The cause of congenital upper eyelid drooping is (  ),D. Moving eye nerve nucleus or lifting upper eyelid muscle dysplasia,1
79. The cause of congenital upper eyelid drooping is (  ),E. Lifting upper eyelid muscle injury,0
80. Which of the following description is not characteristic of the ultrasonic wave of the eye (  ),A. The vascular lesions of the vessel are suitable for color Doppler examination,0
80. Which of the following description is not characteristic of the ultrasonic wave of the eye (  ),"B. It can display internal orbital fat, optic nerve, external muscle",0
80. Which of the following description is not characteristic of the ultrasonic wave of the eye (  ),C.A Super can make a more correct qualitative diagnosis,0
80. Which of the following description is not characteristic of the ultrasonic wave of the eye (  ),D. The compression of the tumor is mostly hemangioma,1
80. Which of the following description is not characteristic of the ultrasonic wave of the eye (  ),E. The nature and range of the lesion can be judged from its two -dimensional image,0
81. The most common reason for scarring eyelids is (  ),A. trachoma,1
81. The most common reason for scarring eyelids is (  ),B. Plasseitis,0
81. The most common reason for scarring eyelids is (  ),C. Eyeitis,0
81. The most common reason for scarring eyelids is (  ),D. Eye trauma,0
81. The most common reason for scarring eyelids is (  ),E. Eye burns,0
82. The characteristics of the following yellow tumor are wrong (  ),A. It is more common in middle-aged and elderly people,0
82. The characteristics of the following yellow tumor are wrong (  ),B. The blood lipids of most patients rise,1
82. The characteristics of the following yellow tumor are wrong (  ),C. Most of the lesions are located on the upper eyelid near the inner corner skin,0
82. The characteristics of the following yellow tumor are wrong (  ),D. Most of them are bilateral onset,0
82. The characteristics of the following yellow tumor are wrong (  ),E. No treatment,0
83. The most reliable method of determining the diagnosis of inferential tumors is (  ),A.X line flat film inspection,0
83. The most reliable method of determining the diagnosis of inferential tumors is (  ),B. Eye ultrasound examination,0
83. The most reliable method of determining the diagnosis of inferential tumors is (  ),C.CT,0
83. The most reliable method of determining the diagnosis of inferential tumors is (  ),D.mri,0
83. The most reliable method of determining the diagnosis of inferential tumors is (  ),E. Pathological examination,1
84. The most common reason for congenital tears is (  ),A. Congenital lacrimal sac,0
84. The most common reason for congenital tears is (  ),B. Congenital meninge swelling,0
84. The most common reason for congenital tears is (  ),C.hasner petal block,1
84. The most common reason for congenital tears is (  ),D. Congenital skin tear tract fistula fistula,0
84. The most common reason for congenital tears is (  ),E. Newborn conjunctivitis,0
85. The commonly used scanning plane of CT is (  ),A. Horizon,0
85. The commonly used scanning plane of CT is (  ),B. Crown position,0
85. The commonly used scanning plane of CT is (  ),C. Sacrity position,0
85. The commonly used scanning plane of CT is (  ),D. Crown position+level,1
85. The commonly used scanning plane of CT is (  ),E. Sacrity position+level level,0
86. What causes eyeball disorder is (  ),A. Obilus honeycomb wovenitis,0
86. What causes eyeball disorder is (  ),B.Graves eye disease,0
86. What causes eyeball disorder is (  ),C. Horizontal muscle sarcoma,0
86. What causes eyeball disorder is (  ),D. Obilus tip syndrome,0
86. What causes eyeball disorder is (  ),E. The above is possible,1
87. The common causes of blunt and dysfunction of the eyeballs do not include which item of the following (  ),"A. Brick, stone and fist",0
87. The common causes of blunt and dysfunction of the eyeballs do not include which item of the following (  ),B. Ball strike and bump,0
87. The common causes of blunt and dysfunction of the eyeballs do not include which item of the following (  ),C. Traffic accident,0
87. The common causes of blunt and dysfunction of the eyeballs do not include which item of the following (  ),D. ion radiation damage,1
87. The common causes of blunt and dysfunction of the eyeballs do not include which item of the following (  ),E. The shock wave of the explosion,0
"88. About thyroid-related eye diseases, the correct one is (  )",A. Both hyperthyroidism,0
"88. About thyroid-related eye diseases, the correct one is (  )",B. The iodine absorption rate is increased,0
"88. About thyroid-related eye diseases, the correct one is (  )","C. Eye muscle abdominal hypertrophy, the tendon is not affected",1
"88. About thyroid-related eye diseases, the correct one is (  )",D. All with eye muscle palsy,0
"88. About thyroid-related eye diseases, the correct one is (  )","E. Eye Decompaters measures the degree of eye projection greater than 28 mm, which is the vicious eye",0
89. Early treatment of external wheat gallery is correct (  ),A. Local hot compress,0
89. Early treatment of external wheat gallery is correct (  ),B. Local cold compress,1
89. Early treatment of external wheat gallery is correct (  ),C. Cut open pus,0
89. Early treatment of external wheat gallery is correct (  ),D. Squeeze the pus out,0
89. Early treatment of external wheat gallery is correct (  ),E. Titanic antibiotic eye fluid,0
89. Early treatment of external wheat gallery is correct (  ),A. Sponge-like hemangioma,0
89. Early treatment of external wheat gallery is correct (  ),B. Cervical cavernous pool fistula,1
89. Early treatment of external wheat gallery is correct (  ),C. Objectives,0
89. Early treatment of external wheat gallery is correct (  ),D. Eye vein song,0
89. Early treatment of external wheat gallery is correct (  ),E. Cerebral membrane brain swelling,0
91. Observatory is not accompanied by noise (  ),A. Sponge-like hemangioma,0
91. Observatory is not accompanied by noise (  ),B. Cervical cavernous sinus fistula,0
91. Observatory is not accompanied by noise (  ),C. Objectives,0
91. Observatory is not accompanied by noise (  ),D. Eye vein song,0
91. Observatory is not accompanied by noise (  ),E. Cerebral membrane brain swelling,1
92. The causes of incomplete eyelid closing are (  ),A. Facial nerve paralysis,0
92. The causes of incomplete eyelid closing are (  ),B. Eye scarring,0
92. The causes of incomplete eyelid closing are (  ),C. Hypertrophic thyroid function,0
92. The causes of incomplete eyelid closing are (  ),D. Comat,0
92. The causes of incomplete eyelid closing are (  ),E. The above are all,1
93. Most of the tumors that make the eyeballs protrude from the front are the gaps (  ),A. Overseas gap,0
93. Most of the tumors that make the eyeballs protrude from the front are the gaps (  ),B. Muscle outer gap,0
93. Most of the tumors that make the eyeballs protrude from the front are the gaps (  ),C. Muscle cone interior space,1
93. Most of the tumors that make the eyeballs protrude from the front are the gaps (  ),D. The gap between the fascia and the sclera,0
93. Most of the tumors that make the eyeballs protrude from the front are the gaps (  ),E. Eye,0
94. The most common pathogenic bacteria of wheat enlargement are (  ),A. Chain bacteria,0
94. The most common pathogenic bacteria of wheat enlargement are (  ),B. Staphylococcus aureus,1
94. The most common pathogenic bacteria of wheat enlargement are (  ),C. Mo -Abinobacteria,0
94. The most common pathogenic bacteria of wheat enlargement are (  ),D. fungi,0
94. The most common pathogenic bacteria of wheat enlargement are (  ),E. Greenland,0
95. The most common benign epithelial tumor of lacrimal glands is (  ),A. Palpebral chalazion,0
95. The most common benign epithelial tumor of lacrimal glands is (  ),B. Pleomorphic adenoma of the lacrimal gland,1
95. The most common benign epithelial tumor of lacrimal glands is (  ),C. Lacrimal gland acinic cell carcinoma,0
95. The most common benign epithelial tumor of lacrimal glands is (  ),D. Wathin tumor,0
95. The most common benign epithelial tumor of lacrimal glands is (  ),E. The above are not,0
96. About tear tube inflammation narrative is wrong (  ),"A. Most of them are caused by chlamydia, picked bacteria, white calamus or epithelium infection",0
96. About tear tube inflammation narrative is wrong (  ),"B. Children are susceptible to suffering, mostly infected with tears, and often occur in purulent conjunctivitis in the eye",0
96. About tear tube inflammation narrative is wrong (  ),"C. Patients with end bonding edge and conjunctiva congestion, tears edema, compressing tear tubules with secretions discharged",0
96. About tear tube inflammation narrative is wrong (  ),"D. Generally, the nasal convergence of the tear sac, it is not easy to relapse after surgery",1
96. About tear tube inflammation narrative is wrong (  ),"E. In severe cases, tears are cut into small pipes, scraped the necrotic tissue, iodine burning mucosal surface",0
97. The narrative about thyroid-related eye disease is wrong (  ),A. The most common cause of adult eyeballs is the most common reason,0
97. The narrative about thyroid-related eye disease is wrong (  ),"B. Pathological change to external eye edema, muscle fibrosis, lymphocyte infiltration, etc.",0
97. The narrative about thyroid-related eye disease is wrong (  ),C. The lesions primarily damage the extraocular muscles and the levator palpebrae superioris,1
97. The narrative about thyroid-related eye disease is wrong (  ),D.CT examination can help confirm the diagnosis,0
97. The narrative about thyroid-related eye disease is wrong (  ),E. Thyroid function test is not helpful for diagnosis,0
98. The following statement is correct (  ),A. The main symptom of chronic dacryocystitis is tearing,1
98. The following statement is correct (  ),B. Tears are shed tears,0
98. The following statement is correct (  ),C. Tears are caused by an eye infection,0
98. The following statement is correct (  ),D. The patient's eyes are tears called tears overflow,0
98. The following statement is correct (  ),E. Flowing tears are formed by stenosis or obstruction of the tear tract,0
99. The preferred treatment of eyelid capillary hemangioma is (  ),A. Local frozen,0
99. The preferred treatment of eyelid capillary hemangioma is (  ),B. Surgical resection,0
99. The preferred treatment of eyelid capillary hemangioma is (  ),C. Local hormone therapy,1
99. The preferred treatment of eyelid capillary hemangioma is (  ),D. Local laser treatment,0
99. The preferred treatment of eyelid capillary hemangioma is (  ),E. The above are not,0
100. The disease located outside the muscle cone is (  ),A. Sponge-like hemangioma,0
100. The disease located outside the muscle cone is (  ),B. Optic nerve meningioma,0
100. The disease located outside the muscle cone is (  ),C. Optical nerve glue tumor,0
100. The disease located outside the muscle cone is (  ),D. Leather-like cyst,1
100. The disease located outside the muscle cone is (  ),E. Cervical cavernous sinus fistula,0
"101. Mikulicz syndrome except for lacrimal glands, the most often enlarged glands are (  )",A. Breast,0
"101. Mikulicz syndrome except for lacrimal glands, the most often enlarged glands are (  )",B. thymus,0
"101. Mikulicz syndrome except for lacrimal glands, the most often enlarged glands are (  )",C. Muman glands,1
"101. Mikulicz syndrome except for lacrimal glands, the most often enlarged glands are (  )",D. Prostate,0
"101. Mikulicz syndrome except for lacrimal glands, the most often enlarged glands are (  )",E. The above are not,0
102. The following statement is wrong (  ),A. Sponge-like hemangioma belongs to the benign internal orbital germ tumor,0
102. The following statement is wrong (  ),B. Horizontal muscle sarcoma is the most common malignant orbital lobe tumor for children,0
102. The following statement is wrong (  ),C. Opticular meningioma CT is often manifested as optic nerve spacious expansion,1
102. The following statement is wrong (  ),"D. After the skin cyst is ruined, it may cause orbital cellulitis",0
102. The following statement is wrong (  ),E. Eye green tumor is a light green mass formed by leukemia cells in the bellies of the orbital osteophytes.,0
"103. During the surgery of the outer wheat gallery, its surgical incision should (  )",A. Vertical to the skin surface,0
"103. During the surgery of the outer wheat gallery, its surgical incision should (  )",B. Vertical to the eyelid plane,0
"103. During the surgery of the outer wheat gallery, its surgical incision should (  )",C. Vertical to the eyelid margin,0
"103. During the surgery of the outer wheat gallery, its surgical incision should (  )",D. Parallel to the eyelid margin,1
"103. During the surgery of the outer wheat gallery, its surgical incision should (  )",E. Vertical to the orbital margin,0
104. The important basis for the diagnosis of foreign objects in the eyes is (  ),A. Find a full-layer scar on the cornea,1
104. The important basis for the diagnosis of foreign objects in the eyes is (  ),B. Corneal scabies with epithelium,0
104. The important basis for the diagnosis of foreign objects in the eyes is (  ),C. Corner elastic layer rupture,0
104. The important basis for the diagnosis of foreign objects in the eyes is (  ),D. Inner corneal edema,0
104. The important basis for the diagnosis of foreign objects in the eyes is (  ),E. Corneal ulcer,0
105. Bacterial extension infection of orbital cellulitis mainly comes from (  ),A. Sky swelling,0
105. Bacterial extension infection of orbital cellulitis mainly comes from (  ),B. Eyeitis,1
105. Bacterial extension infection of orbital cellulitis mainly comes from (  ),C. Obuvenitis,0
105. Bacterial extension infection of orbital cellulitis mainly comes from (  ),D. Sinic sinus and teeth inflammation,0
105. Bacterial extension infection of orbital cellulitis mainly comes from (  ),E. inflammatory fake tumor,0
106. The main reason for functional tears is (  ),A. lacrimal punctum obstruction,0
106. The main reason for functional tears is (  ),B. lacrimal canal obstruction,0
106. The main reason for functional tears is (  ),C. nasolacrimal duct obstruction,0
106. The main reason for functional tears is (  ),D. nasolacrimal duct stenosis,0
106. The main reason for functional tears is (  ),E. laxity of the orbicularis oculi muscle,1
107. The purpose of preoperative lacrimal sac iodine oil imaging examination for lacrimal sac-nasal cavity anastomosis surgery is (  ),A. Increase hospital income,0
107. The purpose of preoperative lacrimal sac iodine oil imaging examination for lacrimal sac-nasal cavity anastomosis surgery is (  ),B. Exclude the possibility of acute dacryocystitis,0
107. The purpose of preoperative lacrimal sac iodine oil imaging examination for lacrimal sac-nasal cavity anastomosis surgery is (  ),C. Excluding the possibility of lacrimal tumor,0
107. The purpose of preoperative lacrimal sac iodine oil imaging examination for lacrimal sac-nasal cavity anastomosis surgery is (  ),"D. Determine the shape of the lacrimal sac, eliminate the taboos of surgery",1
107. The purpose of preoperative lacrimal sac iodine oil imaging examination for lacrimal sac-nasal cavity anastomosis surgery is (  ),E. The above are not,0
108. The treatment of orbital cellulitis is wrong (  ),A. Early treatment of primary lesions,0
108. The treatment of orbital cellulitis is wrong (  ),B. Early application of sufficient broad-spectrum antibiotics,0
108. The treatment of orbital cellulitis is wrong (  ),C. Early line cut and drainage,1
108. The treatment of orbital cellulitis is wrong (  ),D. Apply glucocorticoid as appropriate,0
108. The treatment of orbital cellulitis is wrong (  ),E. Internal orbital high-pressure severe damage to the vision should be performed in time,0
109. Horizontal muscular sarcoma is better to occur (  ),A. Nose Elephant Limits,1
109. Horizontal muscular sarcoma is better to occur (  ),B. Nose Limits,0
109. Horizontal muscular sarcoma is better to occur (  ),C. Inside the muscle cone,0
109. Horizontal muscular sarcoma is better to occur (  ),D. temporal quadrant,0
109. Horizontal muscular sarcoma is better to occur (  ),E. Upper temporal quadrant,0
109. Horizontal muscular sarcoma is better to occur (  ),A. It can be accompanied by corneal inflammation,1
109. Horizontal muscular sarcoma is better to occur (  ),B. Polynon -free conjunctiva edema,0
109. Horizontal muscular sarcoma is better to occur (  ),C. The pathogenic bacteria first invaded the nearby artery,0
109. Horizontal muscular sarcoma is better to occur (  ),D. General,0
109. Horizontal muscular sarcoma is better to occur (  ),E. There are acute and chronic divisions,0
"111. About the narrative of the tear glands polyphonic adenocarcinoma, the wrong thing is (  )",A. More common in young people,0
"111. About the narrative of the tear glands polyphonic adenocarcinoma, the wrong thing is (  )",B. Can be transformed from pleomorphic adenomas,0
"111. About the narrative of the tear glands polyphonic adenocarcinoma, the wrong thing is (  )",C. Eyeball suddenly outwards,1
"111. About the narrative of the tear glands polyphonic adenocarcinoma, the wrong thing is (  )",D. The texture of the mass is hard and tender,0
"111. About the narrative of the tear glands polyphonic adenocarcinoma, the wrong thing is (  )","E.CT shows the boundaries of the mass are unclear, the shape is irregular",0
"112. Regarding ulcerative blepharitis, the correct thing is (  )",A. Vitamin B2 deficiency is good,0
"112. Regarding ulcerative blepharitis, the correct thing is (  )",B. Most of them are caused by Morax-AXENFELD diplobacterium infection,0
"112. Regarding ulcerative blepharitis, the correct thing is (  )",C. Sterile granuloma inflammation,0
"112. Regarding ulcerative blepharitis, the correct thing is (  )",D. The eyelashes are easy to fall off and cannot be regenerated,1
"112. Regarding ulcerative blepharitis, the correct thing is (  )","E. Taboo uses a 3%boric acid solution to clean the edge of the eyelids, and it must be cleaned with 2%sodium bicarbonate solution",0
113. The most common cause of incomplete eyelid closed is (  ),A. Elder eye of thyroid disease,0
113. The most common cause of incomplete eyelid closed is (  ),B. Scarring ectropion,0
113. The most common cause of incomplete eyelid closed is (  ),C. When anesthesia,0
113. The most common cause of incomplete eyelid closed is (  ),D. Facial nerve paralysis,1
113. The most common cause of incomplete eyelid closed is (  ),E. Eye Tumor,0
114. The most common cause of scales -intensive blepharitis is (  ),A. Staphylococcus aureus infection,0
114. The most common cause of scales -intensive blepharitis is (  ),B. Pneumonia infection,0
114. The most common cause of scales -intensive blepharitis is (  ),C. Mo-Aibulobacar infection,0
114. The most common cause of scales -intensive blepharitis is (  ),D. Oyomic gland secretion is excessively strong,1
114. The most common cause of scales -intensive blepharitis is (  ),E. Herpes virus infection,0
115. The most common malignant tumor of the eyelids is (  ),A. Symbolic cell carcinoma,0
115. The most common malignant tumor of the eyelids is (  ),B. Symnoma glandular cancer,0
115. The most common malignant tumor of the eyelids is (  ),C. Basal cell carcinoma,1
115. The most common malignant tumor of the eyelids is (  ),D. Malgnancy melanoma,0
115. The most common malignant tumor of the eyelids is (  ),E. Moving the epithelial cancer,0
116. The benign tumor that adhesive lumps and bone seams should usually be considered (  ),A. Specoma,0
116. The benign tumor that adhesive lumps and bone seams should usually be considered (  ),B. Skin-like cyst,1
116. The benign tumor that adhesive lumps and bone seams should usually be considered (  ),C. Popular tumor,0
116. The benign tumor that adhesive lumps and bone seams should usually be considered (  ),D. Nervous fibroma,0
116. The benign tumor that adhesive lumps and bone seams should usually be considered (  ),E. Obuctal tumor,0
117. Causes of injury of acidic substances (  ),A. Acid can make tissue protein coagulation and bad,1
117. Causes of injury of acidic substances (  ),B. Corner epithelial necrosis falls off,0
117. Causes of injury of acidic substances (  ),C. Sap can jellyfish with the organization,0
117. Causes of injury of acidic substances (  ),D. Missing the tissue,0
117. Causes of injury of acidic substances (  ),E. Make tissue cells decompose necrosis,0
118. The disease with incomplete eyelids will occur (  ),A. Congenital glaucoma,0
118. The disease with incomplete eyelids will occur (  ),B. Estate of thyroid disease,0
118. The disease with incomplete eyelids will occur (  ),C. Facial nerve paralysis,0
118. The disease with incomplete eyelids will occur (  ),D. Objective tumor,0
118. The disease with incomplete eyelids will occur (  ),E. Congenital small eyeball,1
119. The following is correct about orbital cellulitis (  ),A. Divided into two orientations before or behind,0
119. The following is correct about orbital cellulitis (  ),B. The most common is caused by facial swelling,0
119. The following is correct about orbital cellulitis (  ),C. Can cause vein of cavernous sinus thrombosis,1
119. The following is correct about orbital cellulitis (  ),D. Pupil abnormalities are mainly due to ciliary nerves.,0
119. The following is correct about orbital cellulitis (  ),E. It is a specific inflammation,0
120. Positioned eyeballs protruding orbital lesions (  ),A. Sponge-like hemangioma,0
120. Positioned eyeballs protruding orbital lesions (  ),B. End-sinus mucus cysts,0
120. Positioned eyeballs protruding orbital lesions (  ),C. Objectives,0
120. Positioned eyeballs protruding orbital lesions (  ),D. Eye vein song,1
120. Positioned eyeballs protruding orbital lesions (  ),E. lymphoma,0
121. Ectropion caused by eyelid trauma or surgery is (  ),A. Scarring Eye Ververt,1
121. Ectropion caused by eyelid trauma or surgery is (  ),B. Congenital eyelid revelation,0
121. Ectropion caused by eyelid trauma or surgery is (  ),C. Paralyzed eyelid revelation,0
121. Ectropion caused by eyelid trauma or surgery is (  ),D. Elderly eyelid valgus,0
121. Ectropion caused by eyelid trauma or surgery is (  ),E. Spasm eyelid valgus,0
121. The abnormal eyelid position of the elderly is (  ),A. Scarring eyelid turning,0
121. The abnormal eyelid position of the elderly is (  ),B. Spasm eye turning in the eyelid,1
121. The abnormal eyelid position of the elderly is (  ),C. Scarring Eye Verprration,0
121. The abnormal eyelid position of the elderly is (  ),D. Paralyzed eyelid revelation,0
121. The abnormal eyelid position of the elderly is (  ),E. Mechanical eyelid turning,0
122. The treatment measures for chronic tendonitis include (  ),A. Combined with whole-body treatment,0
122. The treatment measures for chronic tendonitis include (  ),B. lamps tract laser,0
122. The treatment measures for chronic tendonitis include (  ),C. Ladings nasal cavity conformity,0
122. The treatment measures for chronic tendonitis include (  ),D. The above are not,0
122. The treatment measures for chronic tendonitis include (  ),E. The above are all,1
"123. For the treatment in the eyelid, the incorrect is (  )",A. The internal fixation method of the internal eyelids of the lower eyelid is feasible,0
"123. For the treatment in the eyelid, the incorrect is (  )",B. Spasmic eyelids can be tried to try botox internal injection. Consider surgical treatment when it is invalid,0
"123. For the treatment in the eyelid, the incorrect is (  )",C. Scarring Internal Eye Internal Beard Surgical Treatment,0
"123. For the treatment in the eyelid, the incorrect is (  )",D. Mechanical eyelids can be tried with a righteous eye sheet or the surgical implantation of righteous eye seats,0
"123. For the treatment in the eyelid, the incorrect is (  )","E. Elderly people should not remove excess skin during spasm internal turmoil surgery, so as not to cause postoperative eyelids",1
124. 75%of horizontal muscle sarcoma occurs before a few years old (  ),A.7 years old,0
124. 75%of horizontal muscle sarcoma occurs before a few years old (  ),B. 8 years old,0
124. 75%of horizontal muscle sarcoma occurs before a few years old (  ),C. 9 years old,0
124. 75%of horizontal muscle sarcoma occurs before a few years old (  ),D. 10 years old,1
124. 75%of horizontal muscle sarcoma occurs before a few years old (  ),E. 11 years old,0
125. The most common reason for the incomplete eyelid closed is (  ),A.Graves eye disease,0
125. The most common reason for the incomplete eyelid closed is (  ),B. Corneal grape swelling,0
125. The most common reason for the incomplete eyelid closed is (  ),C. Facial nerve paralysis,1
125. The most common reason for the incomplete eyelid closed is (  ),D. Comat,0
125. The most common reason for the incomplete eyelid closed is (  ),E. Scarring Eye,0
126. The most common reason for inverted eyelashes is (  ),A. trachoma,1
126. The most common reason for inverted eyelashes is (  ),B. Plasseitis,0
126. The most common reason for inverted eyelashes is (  ),C. Eye trauma,0
126. The most common reason for inverted eyelashes is (  ),D. Eye burns,0
126. The most common reason for inverted eyelashes is (  ),E. Eyeitis,0
127. Mechanical eye injuries do not include which items are included (  ),A. Corneal frustration,0
127. Mechanical eye injuries do not include which items are included (  ),B. Crystal contusion,0
127. Mechanical eye injuries do not include which items are included (  ),C. Radiation eye trauma,1
127. Mechanical eye injuries do not include which items are included (  ),D. Glass volume blood,0
127. Mechanical eye injuries do not include which items are included (  ),E. Retinal shock,0
128. The situation that causes eyeballs is mainly (  ),A. Internal orbital vascular expansion,0
128. The situation that causes eyeballs is mainly (  ),B. Obiasis absorption,1
128. The situation that causes eyeballs is mainly (  ),C. Nearly myopia,0
128. The situation that causes eyeballs is mainly (  ),D. Eye tumor,0
128. The situation that causes eyeballs is mainly (  ),E. Internal parasites,0
129. The following is correct about inflammation and false tumors (  ),A. IgA and IGG in serum rise,0
129. The following is correct about inflammation and false tumors (  ),B. Partially found anti-eye muscle antibody,0
129. The following is correct about inflammation and false tumors (  ),C. Pathological is a specialty tumor-like inflammation,1
129. The following is correct about inflammation and false tumors (  ),D. You can affect the bone wall,0
129. The following is correct about inflammation and false tumors (  ),E. It is a chronic inflammatory response caused by tuberculosis,0
130. It is the nasal tube that is susceptible to the influence of the nasal disease.,A. lower paragraph,1
130. It is the nasal tube that is susceptible to the influence of the nasal disease.,B. Upper paragraph,0
130. It is the nasal tube that is susceptible to the influence of the nasal disease.,C. Middle section,0
130. It is the nasal tube that is susceptible to the influence of the nasal disease.,D. The above are not,0
130. It is the nasal tube that is susceptible to the influence of the nasal disease.,E. The above are all,0
131. The main cause of the onset of orbital cellulitis is (  ),A. Sinus tooth infection,1
131. The main cause of the onset of orbital cellulitis is (  ),B. Border swelling,0
131. The main cause of the onset of orbital cellulitis is (  ),C. Eye injuries,0
131. The main cause of the onset of orbital cellulitis is (  ),D. Obelmon osteositis,0
